"film_id","genre_id"
"8","1"
"8","2"
"8","6"
"10","6"
"10","7"
"10","8"
"11","6"
"11","9"
"12","1"
"12","10"
"13","1"
"13","6"
"13","7"
"14","1"
"14","6"
"15","1"
"15","6"
"16","6"
"16","7"
"16","8"
"17","6"
"17","8"
"17","10"
"18","6"
"18","11"
"18","13"
"18","14"
"19","1"
"19","6"
"19","9"
"19","14"
"20","1"
"20","6"
"20","9"
"21","6"
"21","10"
"22","1"
"22","6"
"23","1"
"23","2"
"23","6"
"24","1"
"24","6"
"24","9"
"25","1"
"25","9"
"26","1"
"26","6"
"35","1"
"35","6"
"36","6"
"36","7"
"36","9"
"37","1"
"37","6"
"37","7"
"37","8"
"38","1"
"38","6"
"38","16"
"39","9"
"39","17"
"40","1"
"40","6"
"40","10"
"41","1"
"41","6"
"41","14"
"42","1"
"42","6"
"42","9"
"43","9"
"43","10"
"44","2"
"44","18"
"45","1"
"45","6"
"45","18"
"46","1"
"46","6"
"46","19"
